"Date","Price","Open","High","Low","Vol.","Change %"
"11/01/2003","1,058.20","1,050.70","1,063.70","1,031.20","","0.71%"
"10/01/2003","1,050.70","996.00","1,053.80","996.00","","5.49%"
"09/01/2003","996.00","1,008.00","1,040.30","990.40","","-1.19%"
"08/01/2003","1,008.00","990.30","1,011.00","960.80","","1.79%"
"07/01/2003","990.30","974.50","1,015.40","962.10","","1.62%"
"06/01/2003","974.50","963.60","1,015.30","963.60","","1.13%"
"05/01/2003","963.60","916.90","965.40","902.80","","5.09%"
"04/01/2003","916.90","848.20","924.20","847.90","","8.10%"
"03/01/2003","848.20","841.10","895.90","788.90","","0.84%"
"02/01/2003","841.10","855.70","864.60","806.30","","-1.71%"
"01/01/2003","855.70","879.80","935.00","840.30","","-2.74%"
"12/01/2002","879.80","936.30","954.30","869.50","","-6.03%"
"11/01/2002","936.30","885.80","941.80","872.00","","5.70%"
"10/01/2002","885.80","815.30","907.40","768.60","","8.65%"
"09/01/2002","815.30","916.10","924.00","800.20","","-11.00%"
"08/01/2002","916.10","911.60","965.00","833.40","","0.49%"
"07/01/2002","911.60","989.80","994.50","775.70","","-7.90%"
"06/01/2002","989.80","1,067.10","1,070.70","952.90","","-7.24%"
"05/01/2002","1,067.10","1,076.90","1,106.60","1,049.00","","-0.91%"
"04/01/2002","1,076.90","1,146.00","1,147.80","1,063.50","","-6.14%"
"03/01/2002","1,147.40","1,108.70","1,173.90","1,108.70","","3.68%"
"02/01/2002","1,106.70","1,127.40","1,130.20","1,074.40","","-2.08%"
"01/01/2002","1,130.20","1,149.00","1,177.00","1,081.70","","-1.56%"
"12/01/2001","1,148.10","1,139.50","1,173.60","1,114.50","","0.75%"
"11/01/2001","1,139.50","1,063.10","1,163.40","1,054.30","","7.52%"
"10/01/2001","1,059.80","1,037.90","1,110.60","1,026.80","","1.82%"
"09/01/2001","1,040.90","1,133.60","1,155.40","944.80","","-8.18%"
"08/01/2001","1,133.60","1,211.20","1,226.30","1,124.90","","-6.41%"
"07/01/2001","1,211.20","1,224.40","1,239.80","1,165.50","","-1.08%"
"06/01/2001","1,224.40","1,255.80","1,286.60","1,203.00","","-2.50%"
"05/01/2001","1,255.80","1,249.50","1,315.90","1,232.00","","0.50%"
"04/01/2001","1,249.50","1,160.30","1,269.30","1,092.00","","7.69%"
"03/01/2001","1,160.30","1,239.90","1,267.40","1,081.20","","-6.42%"
"02/01/2001","1,239.90","1,366.00","1,376.40","1,215.40","","-9.23%"
